Season,Team,HomeMatches,HomeWins,HomeDraws,HomeLosses,HomeGoals,HomeGoalsAllowed,HomeComebackWins,HomeBlownLeads,AwayMatches,AwayWins,AwayDraws,AwayLosses,AwayGoals,AwayGoalsAllowed,AwayComebackWins,AwayBlownLeads,TotalMatches,TotalWins,TotalDraws,TotalLosses,TotalGoals,TotalGoalsAllowed,GoalDifference,TotalComebackWins,TotalBlownLeads,WinRate,ComebackRate,BlownLeadRate
2001/02,Leeds,19,9,6,4,31,21,0,1,19,9,6,4,22,16,1,2,38,18,12,8,53,37,16,1,3,0.47368421052631576,0.02631578947368421,0.07894736842105263
2001/02,Leicester,19,3,7,9,15,34,0,3,19,2,6,11,15,30,0,3,38,5,13,20,30,64,-34,0,6,0.13157894736842105,0.0,0.15789473684210525
2001/02,Liverpool,19,12,5,2,33,14,0,1,19,12,3,4,34,16,0,1,38,24,8,6,67,30,37,0,2,0.631578947368421,0.0,0.05263157894736842
2001/02,Man United,19,11,2,6,40,17,0,0,19,13,3,3,47,28,1,2,38,24,5,9,87,45,42,1,2,0.631578947368421,0.02631578947368421,0.05263157894736842
2001/02,Middlesbrough,19,7,5,7,23,26,0,1,19,5,4,10,12,21,1,2,38,12,9,17,35,47,-12,1,3,0.3157894736842105,0.02631578947368421,0.07894736842105263
2001/02,Newcastle,19,12,3,4,40,23,1,1,19,9,5,5,34,29,2,0,38,21,8,9,74,52,22,3,1,0.5526315789473685,0.07894736842105263,0.02631578947368421
2001/02,Southampton,19,7,5,7,23,22,0,2,19,5,4,10,23,32,1,0,38,12,9,17,46,54,-8,1,2,0.3157894736842105,0.02631578947368421,0.05263157894736842
2001/02,Sunderland,19,7,7,5,18,16,0,1,19,3,3,13,11,35,0,1,38,10,10,18,29,51,-22,0,2,0.2631578947368421,0.0,0.05263157894736842
2001/02,Tottenham,19,10,4,5,32,24,2,2,19,4,4,11,17,29,0,4,38,14,8,16,49,53,-4,2,6,0.3684210526315789,0.05263157894736842,0.15789473684210525
2001/02,West Ham,19,12,4,3,32,14,0,1,19,3,4,12,16,43,0,0,38,15,8,15,48,57,-9,0,1,0.39473684210526316,0.0,0.02631578947368421
2002/03,Arsenal,19,15,2,2,47,20,0,0,19,8,7,4,38,22,1,2,38,23,9,6,85,42,43,1,2,0.6052631578947368,0.02631578947368421,0.05263157894736842
2002/03,Aston Villa,19,11,2,6,25,14,0,0,19,1,7,11,17,33,0,2,38,12,9,17,42,47,-5,0,2,0.3157894736842105,0.0,0.05263157894736842
2002/03,Birmingham,19,8,5,6,25,23,1,0,19,5,4,10,16,26,0,0,38,13,9,16,41,49,-8,1,0,0.34210526315789475,0.02631578947368421,0.0
2002/03,Blackburn,19,9,7,3,24,15,0,3,19,7,5,7,28,28,0,2,38,16,12,10,52,43,9,0,5,0.42105263157894735,0.0,0.13157894736842105
2002/03,Bolton,19,7,8,4,27,24,0,1,19,3,6,10,14,27,0,1,38,10,14,14,41,51,-10,0,2,0.2631578947368421,0.0,0.05263157894736842
2002/03,Charlton,19,8,3,8,26,30,0,2,19,6,4,9,19,26,1,3,38,14,7,17,45,56,-11,1,5,0.3684210526315789,0.02631578947368421,0.13157894736842105
2002/03,Chelsea,19,12,5,2,41,15,1,3,19,7,5,7,27,23,3,0,38,19,10,9,68,38,30,4,3,0.5,0.10526315789473684,0.07894736842105263
2002/03,Everton,19,11,5,3,28,19,2,1,19,6,3,10,20,30,0,2,38,17,8,13,48,49,-1,2,3,0.4473684210526316,0.05263157894736842,0.07894736842105263
2002/03,Fulham,19,11,3,5,26,18,2,2,19,2,6,11,15,32,0,0,38,13,9,16,41,50,-9,2,2,0.34210526315789475,0.05263157894736842,0.05263157894736842
2002/03,Leeds,19,7,3,9,25,26,0,1,19,7,2,10,33,31,1,1,38,14,5,19,58,57,1,1,2,0.3684210526315789,0.02631578947368421,0.05263157894736842
2002/03,Liverpool,19,9,8,2,30,16,0,3,19,9,2,8,31,25,0,0,38,18,10,10,61,41,20,0,3,0.47368421052631576,0.0,0.07894736842105263
