Feature,Weight
AwayRedCards,0.16781818153483297
HomeShotsOnTarget,0.09897790540518417
AwayCorners,0.03349826881486109
AwayYellowCards,0.018568099395628673
HomeFouls,0.0033199071464255128
AwayShots,0.0026183763700138724
AwayFouls,0.0003791509891141933
HomeShots,-0.008857194870235032
HomeCorners,-0.026188415170586753
HomeYellowCards,-0.04874266411060135
AwayShotsOnTarget,-0.11257333660372171
HomeRedCards,-0.29605141358263387
